Tweet ID,Created_at,user name,user screen_name,bio,Is verified,joined at,following,followers,Likes,Retweets,location,device,original_tweeter_name,original_tweeter_location,original_tweeter_id,original_tweet_id,Tweet,Class,Unnamed: 19,Unnamed: 20,Unnamed: 21
1606759511020158978,2022-12-24 21:11:34+00:00,Ozan Erdoğan 𐱅𐰇𐰼𐰚,TR_ozan_erdogan,"""Biz doğrudan doğruya millet severiz ve Türk milliyetçisiyiz. Cumhuriyetimizin dayanağı #Türk topluluğudur."" #ATATÜRK. @zaferpartisi #Çeşme İlçe Başkanı",False,2022-05-02 09:22:05+00:00,391,223,0,707,"İzmir, Türkiye",Twitter for iPhone,hermes_z,Türkiye,1.27892e+18,1.60662e+18,paris members pkk terrorist organization extremely peaceful human rights defenders enjoying freedom thought expression europe peaceful actions httpstcogosiztlua,Pro-TR,,,
1606384378006933516,2022-12-23 20:20:55+00:00,ضابط || Rojava security,DalgashRasoul5,"A Kurdish activist specializing in Kurdish and Turkish affairs in Kurdistan, Syria and Turkey",False,2020-10-12 19:53:54+00:00,362,2333,872,313,Syria,Twitter for Android,,,,,two days ago criminal erdogan called france close kurdish offices headquaers france today terrorist attack took place ahmed kaya kurdish center paris think clear targeted kurds terrorist criminal erdogan httpstcoedyrmhe,TR responsible,,,
1607191051252666368,2022-12-26 01:46:21+00:00,darkerdark,darker_dark66,......omnipresent gòvěrnměnt surveillance......even so ! 'have some good music' .....),False,2020-06-30 00:17:59+00:00,365,42,0,313,uranüs,Twitter for Android,DalgashRasoul5,Syria,1.31574e+18,1.60638e+18,two days ago criminal erdogan called france close kurdish offices headquaers france today terrorist attack took place ahmed kaya kurdish center paris think clear targeted kurds terrorist criminal erdogan httpstcoedyrmhe,TR responsible,,,
1607131669466595328,2022-12-25 21:50:23+00:00,Πέτρος - Ανδρέας Αυλωνίτης 🇬🇷,PetrosAvlonitis,"• Μ. Σ. Κέρκυρας
• Φ. Ε. Μάντζαρος",False,2020-03-31 10:48:29+00:00,47,122,0,313,"Κέρκυρα, Ελλάς",Twitter for Android,DalgashRasoul5,Syria,1.31574e+18,1.60638e+18,two days ago criminal erdogan called france close kurdish offices headquaers france today terrorist attack took place ahmed kaya kurdish center paris think clear targeted kurds terrorist criminal erdogan httpstcoedyrmhe,TR responsible,,,
1607122054679261185,2022-12-25 21:12:11+00:00,Penny Rage,penny_rage,ΟΨΟΜΕΘΑ ΕΙΣ ΦΙΛΙΠΠΟΥΣ,False,2020-10-10 23:41:58+00:00,1482,2614,0,313,Αθήνα,Twitter Web App,DalgashRasoul5,Syria,1.31574e+18,1.60638e+18,two days ago criminal erdogan called france close kurdish offices headquaers france today terrorist attack took place ahmed kaya kurdish center paris think clear targeted kurds terrorist criminal erdogan httpstcoedyrmhe,TR responsible,,,
1607083311674920962,2022-12-25 18:38:14+00:00,Paranormal Left...the building.,ParanormaLEFT,"Modern Leftists = Brains going byebye
Ζήτω Ο ΑναρχοΣυνδικαλισμός. Ζήτω οι Φωτόπουλοι. Ζήτω ο Ηλίθιος 'Λαός'. Ζήτω ο ΤσεΜεΤαΔυοΧέρια και ο κάθε άπλυτος.",False,2022-07-03 19:56:58+00:00,242,374,0,313,,Twitter for Android,DalgashRasoul5,Syria,1.31574e+18,1.60638e+18,two days ago criminal erdogan called france close kurdish offices headquaers france today terrorist attack took place ahmed kaya kurdish center paris think clear targeted kurds terrorist criminal erdogan httpstcoedyrmhe,TR responsible,,,
1607083022548877312,2022-12-25 18:37:05+00:00,ΦΩΤΕΙΝΗ ΑΠΟΣΤΟΛΟΥ,fifi_apostolou,,False,2013-04-29 17:37:29+00:00,3022,3949,0,313,,Twitter for Android,DalgashRasoul5,Syria,1.31574e+18,1.60638e+18,two days ago criminal erdogan called france close kurdish offices headquaers france today terrorist attack took place ahmed kaya kurdish center paris think clear targeted kurds terrorist criminal erdogan httpstcoedyrmhe,TR responsible,,,
1607055498171535366,2022-12-25 16:47:43+00:00,Sotiris M.,SotirisM7,"Υπήρξεν έτι το άριστον εκείνο, Ελληνικός            - Había uno excelente, el Griego -",False,2021-04-10 09:43:43+00:00,2128,274,0,313,,Twitter for iPhone,DalgashRasoul5,Syria,1.31574e+18,1.60638e+18,two days ago criminal erdogan called france close kurdish offices headquaers france today terrorist attack took place ahmed kaya kurdish center paris think clear targeted kurds terrorist criminal erdogan httpstcoedyrmhe,TR responsible,,,
1607041487425998848,2022-12-25 15:52:02+00:00,DestroyMullah11,kosmardlyatebya,Retweet doesnt mean endorsement,False,2011-08-14 18:38:13+00:00,480,317,0,313,Киев,Twitter Web App,DalgashRasoul5,Syria,1.31574e+18,1.60638e+18,two days ago criminal erdogan called france close kurdish offices headquaers france today terrorist attack took place ahmed kaya kurdish center paris think clear targeted kurds terrorist criminal erdogan httpstcoedyrmhe,TR responsible,,,
1607032542150144000,2022-12-25 15:16:29+00:00,Harry,Harry19601960,,False,2022-12-20 10:58:53+00:00,49,12,0,313,,Twitter Web App,DalgashRasoul5,Syria,1.31574e+18,1.60638e+18,two days ago criminal erdogan called france close kurdish offices headquaers france today terrorist attack took place ahmed kaya kurdish center paris think clear targeted kurds terrorist criminal erdogan httpstcoedyrmhe,TR responsible,,,
